,cluster
2017-01-04 05:30:00,1
2017-01-08 05:15:00,1
2017-01-19 08:55:00,1
2017-01-19 09:00:00,0
2017-01-19 09:05:00,0
2017-01-19 09:10:00,0
2017-01-19 09:25:00,2
2017-01-19 09:30:00,2
2017-01-19 09:35:00,2
2017-01-19 09:40:00,2
2017-01-19 09:45:00,2
2017-01-20 04:40:00,1
2017-01-20 04:45:00,2
2017-01-22 23:45:00,0
2017-01-23 00:00:00,2
2017-01-23 00:10:00,0
2017-01-23 01:45:00,0
2017-01-23 06:45:00,1
2017-01-23 07:15:00,1
2017-01-23 07:20:00,1
2017-01-23 13:05:00,1
2017-01-23 14:55:00,1
2017-01-23 15:00:00,1
2017-01-23 16:25:00,2
2017-01-25 17:35:00,1
2017-01-25 17:40:00,0
2017-01-26 09:25:00,0
2017-01-26 09:30:00,0
2017-01-26 09:35:00,0
2017-01-26 10:05:00,0
2017-01-26 11:10:00,2
2017-01-26 13:00:00,1
2017-01-26 13:05:00,0
2017-01-26 13:10:00,1
2017-01-26 13:20:00,1
2017-01-28 16:45:00,2
2017-01-28 16:50:00,1
2017-01-28 17:00:00,0
2017-01-31 05:30:00,2
2017-02-01 12:55:00,2
2017-02-01 13:15:00,2
2017-02-01 15:20:00,1
2017-02-01 15:25:00,2
2017-02-01 15:35:00,1
2017-02-01 15:40:00,2
2017-02-16 13:00:00,2
2017-02-22 12:35:00,1
2017-02-25 15:15:00,2
2017-02-25 21:10:00,3
2017-02-25 21:15:00,1
2017-02-25 21:20:00,2
2017-02-27 01:50:00,1
2017-03-02 02:05:00,0
2017-03-02 02:10:00,0
2017-03-02 02:15:00,0
2017-03-02 02:20:00,0
2017-03-02 03:40:00,0
2017-03-02 03:45:00,0
2017-03-02 07:40:00,1
2017-03-02 19:15:00,3
2017-03-07 20:40:00,2
2017-03-07 21:00:00,2
2017-03-07 21:05:00,1
2017-03-07 21:10:00,1
2017-03-07 21:15:00,1
2017-03-07 21:20:00,1
2017-03-07 22:40:00,1
2017-03-07 22:45:00,0
2017-03-08 02:00:00,2
2017-03-08 02:05:00,0
2017-03-08 02:10:00,0
2017-03-12 03:35:00,2
2017-03-12 03:40:00,0
2017-03-12 03:45:00,0
2017-03-12 04:10:00,1
2017-03-12 04:15:00,1
2017-03-16 22:40:00,1
2017-03-16 22:45:00,2
2017-03-21 03:05:00,1
2017-03-25 03:20:00,1
2017-03-25 03:25:00,1
2017-03-25 03:30:00,1
2017-03-25 03:35:00,1
2017-03-25 03:40:00,1
2017-03-25 03:45:00,2
2017-03-25 03:50:00,2
2017-03-25 07:25:00,2
2017-03-25 09:55:00,1
2017-03-25 10:00:00,1
2017-03-25 10:05:00,1
2017-03-25 10:10:00,2
2017-03-25 10:35:00,2
2017-03-26 01:20:00,1
2017-03-26 01:40:00,2
2017-03-26 21:25:00,2
2017-03-27 12:05:00,2
2017-03-29 21:40:00,1
2017-03-29 22:05:00,0
2017-03-29 22:15:00,2
2017-03-29 22:25:00,2
2017-03-30 23:50:00,2
2017-04-03 15:05:00,2
2017-04-03 15:10:00,0
2017-04-03 15:15:00,0
2017-04-03 15:35:00,0
2017-04-05 01:30:00,1
2017-04-07 00:50:00,1
2017-04-07 00:55:00,1
2017-04-07 01:00:00,2
2017-04-07 21:00:00,1
2017-04-07 21:05:00,2
2017-04-18 00:30:00,2
2017-04-18 00:35:00,2
2017-04-18 00:40:00,1
2017-04-18 10:35:00,2
