timestamp,root_features
2017-01-04 05:30:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft', 'Cyclone_cone_draft']"
2017-01-19 08:55:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft', 'Cyclone_cone_draft']"
2017-01-19 09:00:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft', 'Cyclone_cone_draft']"
2017-01-19 09:05:00,"['Cyclone_Material_Temp', 'Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft']"
2017-01-19 09:10:00,"['Cyclone_Material_Temp', 'Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft']"
2017-01-19 09:15:00,"['Cyclone_Material_Temp', 'Cyclone_Inlet_Gas_Temp', 'Cyclone_Outlet_Gas_draft']"
2017-01-19 09:25:00,"['Cyclone_Material_Temp', 'Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft']"
2017-01-20 04:40:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Gas_Temp', 'Cyclone_Inlet_Draft']"
2017-01-22 23:40:00,"['Cyclone_Material_Temp', 'Cyclone_Inlet_Gas_Temp', 'Cyclone_Outlet_Gas_draft']"
2017-01-22 23:45:00,"['Cyclone_Material_Temp', 'Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft']"
2017-01-22 23:50:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_cone_draft', 'Cyclone_Inlet_Draft']"
2017-01-23 00:10:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Material_Temp', 'Cyclone_Inlet_Draft']"
2017-01-23 00:15:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft', 'Cyclone_Material_Temp']"
2017-01-23 00:20:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Gas_Temp', 'Cyclone_Inlet_Draft']"
2017-01-23 00:25:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Gas_Temp', 'Cyclone_Inlet_Draft']"
2017-01-23 01:45:00,"['Cyclone_cone_draft', 'Cyclone_Outlet_Gas_draft', 'Cyclone_Inlet_Draft']"
2017-01-23 01:50:00,"['Cyclone_Outlet_Gas_draft', 'Cyclone_cone_draft', 'Cyclone_Inlet_Draft']"
2017-01-23 01:55:00,"['Cyclone_cone_draft', 'Cyclone_Outlet_Gas_draft', 'Cyclone_Material_Temp']"
2017-01-23 02:00:00,"['Cyclone_cone_draft', 'Cyclone_Material_Temp', 'Cyclone_Outlet_Gas_draft']"
